2019-01-01 00:00:00,2.4
2019-02-01 00:00:00,2.4
2019-03-01 00:00:00,2.41
2019-04-01 00:00:00,2.42
2019-05-01 00:00:00,2.39
2019-06-01 00:00:00,2.38
2019-07-01 00:00:00,2.4
2019-08-01 00:00:00,2.13
2019-09-01 00:00:00,2.04
2019-10-01 00:00:00,1.83
2019-11-01 00:00:00,1.55
2019-12-01 00:00:00,1.55
2020-01-01 00:00:00,1.55
2020-02-01 00:00:00,1.58
2020-03-01 00:00:00,0.65
2020-04-01 00:00:00,0.05
2020-05-01 00:00:00,0.05
2020-06-01 00:00:00,0.08
2020-07-01 00:00:00,0.09
2020-08-01 00:00:00,0.1
2020-09-01 00:00:00,0.09
2020-10-01 00:00:00,0.09
2020-11-01 00:00:00,0.09
2020-12-01 00:00:00,0.09
2021-01-01 00:00:00,0.09
2021-02-01 00:00:00,0.08
2021-03-01 00:00:00,0.07
2021-04-01 00:00:00,0.07
2021-05-01 00:00:00,0.06
2021-06-01 00:00:00,0.08
2021-07-01 00:00:00,0.1
2021-08-01 00:00:00,0.09
2021-09-01 00:00:00,0.08
2021-10-01 00:00:00,0.08
2021-11-01 00:00:00,0.08
2021-12-01 00:00:00,0.08
2022-01-01 00:00:00,0.08
2022-02-01 00:00:00,0.08
2022-03-01 00:00:00,0.2
2022-04-01 00:00:00,0.33
2022-05-01 00:00:00,0.77
2022-06-01 00:00:00,1.21
2022-07-01 00:00:00,1.68
2022-08-01 00:00:00,2.33
2022-09-01 00:00:00,2.56
2022-10-01 00:00:00,3.08
2022-11-01 00:00:00,3.78
2022-12-01 00:00:00,4.1
2023-01-01 00:00:00,4.33
2023-02-01 00:00:00,4.57
2023-03-01 00:00:00,4.65
2023-04-01 00:00:00,4.83
2023-05-01 00:00:00,5.06
2023-06-01 00:00:00,5.08
2023-07-01 00:00:00,5.12
2023-08-01 00:00:00,5.33
2023-09-01 00:00:00,5.33
2023-10-01 00:00:00,5.33
2023-11-01 00:00:00,5.33
2023-12-01 00:00:00,5.33
2024-01-01 00:00:00,5.33
2024-02-01 00:00:00,5.33
