Positive,Negative
50,22
55,22
55,37
58,25
58,25
58,37
48,28
32,47
53,41
70,46
62,58
69,71
62,60
54,35
43,35
33,43
41,41
57,47
58,52
97,18
82,18
47,32
83,34
82,33
60,23
75,21
80,39
65,58
73,45
45,39
54,47
54,47
54,35
64,40
69,40
63,30
69,18
69,23
49,23
32,20
73,28
54,35
40,28
40,24
44,24
40,32
8,4
8,4
14,3
14,4
11,4
10,4
11,4
11,4
8,5
10,5
10,5
10,6
10,8
6,1
4,6
8,7
13,12
10,9
5,11
8,9
15,4
12,11
11,10
11,7
10,8
7,9
11,16
10,10
14,7
27,11
18,9
18,10
20,10
22,10
25,12
31,12
31,12
25,12
24,14
24,14
7,3
22,15
26,14
27,14
31,17
30,17
36,14
39,10
39,8
35,12
32,15
47,17
32,12
33,9
30,12
29,11
31,11
42,15
34,14
40,12
39,10
45,17
39,21
37,21
37,19
43,18
42,19
49,23
48,22
53,25
52,23
54,21
51,19
51,19
53,19
55,20
11,1
42,17
45,22
36,17
32,17
34,14
31,13
32,13
32,17
32,14
32,13
27,15
22,6
28,13
30,11
27,13
29,13
31,14
31,13
28,13
29,11
30,8
30,9
29,7
19,3
27,7
29,16
27,18
29,10
27,6
14,5
27,6
27,6
25,5
25,5
22,5
23,5
23,5
20,6
9,6
9,1
18,6
30,14
18,5
20,9
20,8
21,8
48,13
16,8
15,6
14,6
5,3
37,10
4,2
41,4
16,1
21,13
22,12
21,11
45,12
29,12
25,12
25,12
27,15
9,3
26,14
29,14
29,12
31,11
32,11
32,13
27,13
22,14
8,3
9,1
18,13
19,16
17,4
18,15
15,13
15,13
17,15
17,15
18,11
8,3
21,9
20,8
22,8
20,8
22,8
22,8
22,8
19,9
7,3
