File,Value,Date
,3637.2500000000573,20000202
,1917.6499999999976,20000321
,1137.8000000000081,20000516
,775.9000000000073,20000628
,1110.0499999999938,20000822
,702.6000000000066,20001003
,906.7500000000165,20001115
,933.6750000000105,20001219
,3290.1499999999323,20010131
,1008.8250000000049,20010320
,751.3999999999997,20010515
,676.9000000000034,20010627
,836.5750000000079,20010821
,-61.89999999999952,20011002
,539.0749999999964,20011106
,411.24999999999676,20011211
,2970.3249999999957,20020130
,1084.0500000000052,20020319
,913.8000000000014,20020507
,2864.7500000000146,20020626
,1981.4500000000041,20020813
,1601.7000000000162,20020924
,2149.0749999999875,20021106
,1371.1749999999965,20021210
,2928.400000000037,20030129
,513.049999999996,20030318
,31.625000000000025,20030506
,1317.3249999999825,20030625
,773.5750000000039,20030812
,1145.3499999999858,20030916
,981.7499999999889,20031028
,900.0000000000007,20031209
,392.9000000000007,20040128
,713.9000000000005,20040316
,66.02499999999998,20040504
,73.19999999999996,20040630
,742.7000000000023,20040810
,38.92500000000001,20040921
,37.9,20041110
,47.35000000000004,20041214
,95.04999999999998,20050202
,47.975,20050322
,33.374999999999986,20050503
,25.650000000000013,20050630
,29.80000000000002,20050809
,11.500000000000004,20050920
,3.675000000000001,20051101
,40.099999999999994,20051213
,66.37499999999993,20060131
,42.024999999999984,20060328
,54.39999999999998,20060510
,647.8000000000033,20060629
,36.750000000000014,20060808
,41.45000000000003,20060920
,18.224999999999984,20061025
,31.950000000000006,20061212
,80.99999999999999,20070131
,23.699999999999992,20070321
,34.09999999999999,20070509
,18.0,20070628
,31.674999999999986,20070807
,13.624999999999984,20070918
,27.87500000000002,20071031
,230.64999999999625,20071211
,124.67499999999944,20080130
,21.850000000000005,20080318
,58.00000000000009,20080430
,14.774999999999991,20080805
,0.42500000000000204,20080916
,12.774999999999999,20081029
,16.650000000000016,20081216
,209.07500000000005,20090128
,21.574999999999992,20090318
,20.924999999999994,20090429
,21.22499999999999,20090624
,35.29999999999999,20090812
,61.22499999999994,20090923
,121.30000000000004,20091104
,71.775,20091216
,94.62499999999999,20100127
,43.52499999999998,20100316
,66.44999999999996,20100428
,73.99999999999999,20100623
,52.99999999999991,20100810
,38.225,20100921
,52.25,20101103
,55.12499999999995,20101214
,116.14999999999992,20110126
,64.42499999999997,20110315
,57.749999999999986,20110427
,30.22499999999998,20110622
,22.525,20110809
,43.92499999999997,20110921
,53.29999999999993,20111102
,55.04999999999998,20111213
,106.37499999999999,20120125
,58.04999999999994,20120313
,59.34999999999986,20120425
,54.099999999999966,20120620
,49.99999999999997,20120801
,59.350000000000016,20120913
,60.89999999999997,20121024
,41.14999999999997,20121212
,105.02499999999972,20130130
,40.775000000000006,20130320
,60.47499999999999,20130501
,66.92499999999997,20130619
,84.50000000000001,20130731
,48.59999999999997,20130918
,63.12499999999993,20131030
,78.99999999999999,20131218
,128.62500000000006,20140129
,53.62500000000001,20140319
,24.60000000000003,20140430
,51.824999999999946,20140618
,61.625000000000014,20140730
,65.55,20140917
,61.075,20141029
,46.62499999999996,20141217
,100.72499999999997,20150128
,73.09999999999997,20150318
,41.45,20150429
,66.49999999999999,20150617
,60.35000000000001,20150729
,29.325000000000017,20150917
,51.10000000000002,20151028
,40.175000000000054,20151216
,79.0500000000002,20160127
,28.55000000000001,20160316
,43.87500000000002,20160427
,25.125,20160615
,58.04999999999996,20160727
,49.775,20160921
,86.2499999999999,20161102
,60.050000000000004,20161214
,128.12499999999974,20170201
,80.47500000000002,20170315
,58.949999999999974,20170503
,57.149999999999984,20170614
,48.824999999999996,20170726
,43.87499999999996,20170920
,31.00000000000001,20171101
,68.84999999999991,20171213
,156.89999999999975,20180131
,65.62499999999997,20180321
,81.6999999999999,20180502
,69.09999999999992,20180613
,70.94999999999993,20180801
,70.32499999999993,20180926
,72.00000000000003,20181108
,57.149999999999956,20181219
,137.12500000000017,20190130
,74.77499999999993,20190320
,94.62499999999994,20190501
,40.87499999999997,20190619
,69.72499999999992,20190731
,44.89999999999995,20190918
,84.07499999999992,20191030
,63.69999999999997,20191211
,135.89999999999975,20200129
,-0.3500000000000201,20200315
,-9.850000000000003,20200429
,58.72499999999992,20200610
,34.449999999999974,20200729
,117.57499999999983,20200916
,59.24999999999992,20201105
,71.44999999999996,20201216
,139.62499999999986,20210127
,95.09999999999982,20210317
,77.34999999999995,20210428
,101.6499999999998,20210616
,104.99999999999973,20210728
,76.19999999999999,20210922
,69.44999999999997,20211103
,85.64999999999982,20211215
,141.82499999999985,20220126
,36.27500000000006,20220316
,29.47500000000001,20220504
,15.6,20220615
,17.674999999999997,20220727
,19.92499999999998,20220921
,18.4,20221102
,15.174999999999995,20221214
,32.39999999999997,20230201
,25.2,20230322
,20.050000000000008,20230503
,36.099999999999994,20230614
,26.849999999999987,20230726
,25.29999999999999,20230920
,39.249999999999964,20231101
,30.75,20231213
,49.57500000000006,20240131
